Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,ACPR_Name,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2021-22 Australian Government Funding
Catholic Healthcare McQuoin Park,35 Pacific Highway,,WAHROONGA,NSW,2076,Northern Sydney,Residential,122,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.7136326,151.1071563,"$8,772,056.95 "
Warrigal Care Mt Warrigal,5 Rowland Avenue,,MOUNT WARRIGAL,NSW,2528,Illawarra,Residential,40,,,Warrigal Care,Charitable,Major Cities of Australia,-34.54768467,150.8440831,"$2,800,732.93 "
The Whiddon Group - Wingham - Primrose,12 Primrose Street,,WINGHAM,NSW,2429,Mid North Coast,Residential,82,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-31.86920075,152.3707146,"$4,563,230.27 "
Woodberry Village,129 Lanhams Road,,WINSTON HILLS,NSW,2153,Western Sydney,Residential,122,,,Anglican Community Services,Religious,Major Cities of Australia,-33.77693706,150.9759948,"$7,564,915.62 "
IRT Diment Towers,39-45 Staff Street,,WOLLONGONG,NSW,2500,Illawarra,Residential,63,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-34.42734794,150.8800214,"$3,092,270.96 "
BaptistCare Bethshan Gardens Centre,30 Forest Road,,WYEE,NSW,2259,Hunter,Residential,139,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.17004419,151.4723694,"$10,444,341.66 "
Adelene Court Hostel,1 Birch Road,,WYOMING,NSW,2250,Central Coast,Residential,35,,,Central Coast Community Care Association Limited,Charitable,Major Cities of Australia,-33.410581,151.365529,"$1,915,059.59 "
Thomas Eccles Gardens,26 Mount Street,,YASS,NSW,2582,Southern Highlands,Residential,82,,,RSL LifeCare Limited,Community Based,Inner Regional Australia,-34.83111871,148.9122744,"$5,320,802.77 "
Southern Cross Care Young Residential Aged Care,Demondrille Street,,YOUNG,NSW,2594,Southern Highlands,Residential,83,,,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,-34.322695,148.29131,"$5,862,450.60 "
Uniting Wirreanda West Pennant Hills,33 Highs Road,,WEST PENNANT HILLS,NSW,2125,Western Sydney,Residential,40,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.73698527,151.0225545,"$2,952,582.26 "
Christophorus House Hostel,396 Peats Ferry Road,,HORNSBY,NSW,2077,Northern Sydney,Residential,24,,,Christophorus House Retirement Village,Community Based,Major Cities of Australia,-33.6966924,151.0987175,"$985,271.31 "
Catholic Healthcare St Mary's Retirement Village,211 Northcliffe Drive,,BERKELEY,NSW,2506,Illawarra,Residential,33,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-34.48289788,150.8431883,"$2,323,229.46 "
Catholic Healthcare St John's Villa,222 Kings Road,,NEW LAMBTON,NSW,2305,Hunter,Residential,51,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-32.93508674,151.7152755,"$3,042,742.64 "
Woodlands Lodge,100 Lake Road,,WALLSEND,NSW,2287,Hunter,Residential,72,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,-32.91254277,151.659999,"$5,140,688.47 "
RFBI Lakemba Masonic Village,72 Sproule Street,,LAKEMBA,NSW,2195,Inner West,Residential,50,,,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,-33.92391248,151.0762091,"$2,957,325.33 "
Teloca House Hostel,120 Audley Street,,NARRANDERA,NSW,2700,Riverina/Murray,Residential,61,,,RSL LifeCare Limited,Community Based,Outer Regional Australia,-34.74811985,146.5494843,"$4,732,957.70 "
Catholic Healthcare Coolamon Villa,1-3 Azalea Street,,MULLUMBIMBY,NSW,2482,Far North Coast,Residential,55,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-28.55901471,153.4909277,"$3,271,153.48 "
Glaica House,22 Flora Parade,,TUNCURRY,NSW,2428,Mid North Coast,Residential,146,,,Great Lakes Aged & Invalid Care Association Ltd,Community Based,Inner Regional Australia,-32.16756731,152.4967062,"$9,575,130.73 "
Lemongrove Gardens Hostel,32 Gascoigne Street,,PENRITH,NSW,2750,Nepean,Residential,59,,,Anglican Community Services,Religious,Major Cities of Australia,-33.75261083,150.7103632,"$4,480,564.18 "
Hay Senior Citizens Association Inc.,258 Coke Street,,HAY,NSW,2711,Riverina/Murray,Residential,24,,,Hay Senior Citizens Association Incorporated,Community Based,Outer Regional Australia,-34.501707,144.85199,"$1,095,910.17 "
Bilyara Hostel,1 Holman Place,,COWRA,NSW,2794,Central West,Residential,84,,,Cowra Retirement Village Ltd,Charitable,Inner Regional Australia,-33.824333,148.694704,"$6,334,008.94 "
Bracken House Dubbo,315 Macquarie Street,,DUBBO,NSW,2830,Orana Far West,Residential,74,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-32.26121987,148.6003671,"$5,099,174.91 "
Cooee Lodge,Townsend Drive,,GILGANDRA,NSW,2827,Orana Far West,Residential,50,,,Gilgandra Council,Local Government,Outer Regional Australia,-31.703966,148.663309,"$2,633,910.68 "
St Agnes Site,2 Lochinvar Place,,PORT MACQUARIE,NSW,2444,Mid North Coast,Residential,125,,,St Agnes' Care & Lifestyle,Religious,Inner Regional Australia,-31.456553,152.898377,"$7,255,441.28 "
The Whiddon Group - Narrabri - Robert Young,Cameron Street,,NARRABRI,NSW,2390,New England,Residential,54,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-30.32497977,149.7779045,"$3,534,367.31 "
The Whiddon Group - Belmont,10 Gibson Street,,BELMONT,NSW,2280,Hunter,Residential,56,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.03618876,151.6660629,"$4,204,096.85 "
Uralba Retirement Village,5 Eulamore Street,,CARCOAR,NSW,2791,Central West,Residential,22,,,Uralba (Carcoar) Incorporated,Community Based,Inner Regional Australia,-33.61648451,149.1426066,"$1,034,509.47 "
Borella House,333 Borella Road,,ALBURY,NSW,2640,Riverina/Murray,Residential,66,,,The Churches of Christ Property Trust,Religious,Inner Regional Australia,-36.076423,146.931133,"$4,523,233.87 "
Uniting Hawkesbury Richmond,23-25 Chapel Street,,RICHMOND,NSW,2753,Nepean,Residential,134,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.595922,150.744046,"$9,376,922.09 "
Maranatha House,127 - 137 Whiteley Street,,WELLINGTON,NSW,2820,Orana Far West,Residential,80,,,Maranatha House,Community Based,Outer Regional Australia,-32.54889026,148.9524448,"$5,438,961.46 "
Bolton Clarke Winders Lodge,26 Winders Place,,BANORA POINT,NSW,2486,Far North Coast,Residential,40,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,-28.213079,153.540814,"$3,085,197.92 "
Chester Hill Village,83 Jocelyn Street,,CHESTER HILL,NSW,2162,South West Sydney,Residential,50,,,Bankstown City Aged Care Ltd,Community Based,Major Cities of Australia,-33.88944352,150.9981591,"$2,118,199.38 "
St Dominic's Home for the Elderly,171 Walters Road,,BLACKTOWN,NSW,2148,Western Sydney,Residential,50,,,The Congregation of the Dominican Sisters of Malta in New South Wales,Religious,Major Cities of Australia,-33.7873406,150.8931876,"$2,585,582.54 "
Anglican Care Storm Village,109 Cowper Street,,TAREE,NSW,2430,Mid North Coast,Residential,117,,,Anglican Care,Charitable,Inner Regional Australia,-31.8979741,152.4723242,"$6,655,620.30 "
Uniting Banks Lodge Peakhurst,93 Baumans Road,,PEAKHURST,NSW,2210,South East Sydney,Residential,114,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.9562902,151.0683671,"$8,116,135.25 "
Aurrum Norah Head,60 Soldiers Point Drive,,NORAH HEAD,NSW,2263,Central Coast,Residential,53,,,Aurrum Pty Limited,Private Incorporated Body,Major Cities of Australia,-33.28401478,151.5684997,"$4,269,645.39 "
Anglican Care McIntosh Court,Toronto Road,,BOORAGUL,NSW,2284,Hunter,Residential,63,,,Anglican Care,Charitable,Major Cities of Australia,-32.979376,151.604502,"$4,859,929.03 "
Stella Maris Aged Care Facility,6 Coast Avenue,,CRONULLA,NSW,2230,South East Sydney,Residential,75,,,Stella Maris Aged Care Facility,Religious,Major Cities of Australia,-34.06163515,151.1555167,"$5,458,582.17 "
The Whiddon Group - Glenfield - Arthur Webb,81 Belmont Road,,GLENFIELD,NSW,2167,South West Sydney,Residential,48,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.97702387,150.9002088,"$3,433,388.59 "
The Whiddon Group - Glenfield - Easton Park,81 Belmont Road,,GLENFIELD,NSW,2167,South West Sydney,Residential,197,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.97702387,150.9002088,"$12,657,015.59 "
Murray Vale Shalem Hostel,342 Wagga Road,,LAVINGTON,NSW,2641,Riverina/Murray,Residential,60,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-36.04998927,146.937888,"$4,922,245.00 "
Oolong Hostel,91-97 Sturt Street,,HOWLONG,NSW,2643,Riverina/Murray,Residential,21,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-35.98010238,146.6244832,"$1,886,746.60 "
Catholic Healthcare Percy Miles Villa,227-235 Forest Road,,KIRRAWEE,NSW,2232,South East Sydney,Residential,40,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-34.04009239,151.0737298,"$2,828,762.66 "
BaptistCare Warena Centre,15 Bangaroo Street,,BANGOR,NSW,2234,South East Sydney,Residential,130,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-34.01697625,151.027584,"$7,803,808.41 "
BaptistCare Kularoo Centre,84-86 Kularoo Drive,,FORSTER,NSW,2428,Mid North Coast,Residential,160,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-32.19779899,152.5254877,"$11,146,753.83 "
Uniting Thomas Roseby Lodge Marrickville,388-390 Illawarra Road,,MARRICKVILLE,NSW,2204,Inner West,Residential,41,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.91557607,151.1503291,"$3,073,648.50 "
RFBI Coffs Harbour Masonic Village,33a Mackays Road,,COFFS HARBOUR,NSW,2450,Mid North Coast,Residential,61,,,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,-30.27731496,153.1031486,"$4,100,425.63 "
Dougherty Villa,206 Arthur Street,,GRAFTON,NSW,2460,Far North Coast,Residential,74,,,Clarence Village Limited,Community Based,Inner Regional Australia,-29.67327554,152.9392609,"$5,383,013.24 "
Burrowa House,79 Ford Street,,BOOROWA,NSW,2586,Southern Highlands,Residential,20,,,Boorowa Hostel Incorporated,Community Based,Inner Regional Australia,-34.442832,148.727783,"$1,495,157.94 "
Catholic Healthcare St Joseph's Aged Care,37 Azalea Avenue,,COFFS HARBOUR,NSW,2450,Mid North Coast,Residential,112,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,-30.298755,153.106392,"$7,797,550.12 "
Catholic Healthcare The Sister Anne Court Aged Care,180 Albion Street,,DARLINGHURST,NSW,2010,South East Sydney,Residential,68,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.883771,151.215982,"$4,272,865.47 "
Woollahra Montefiore Home,23 Nelson Street,,WOOLLAHRA,NSW,2025,South East Sydney,Residential,50,,,Sir Moses Montefiore Jewish Home,Religious,Major Cities of Australia,-33.888844,151.2432781,"$2,528,895.42 "
Catholic Healthcare Emmaus Village,85 Bakers Lane,,KEMPS CREEK,NSW,2178,Nepean,Residential,64,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.82920307,150.7910313,"$4,479,236.42 "
Southern Cross Care Parkes Residential Aged Care,2 Middleton Street,,PARKES,NSW,2870,Central West,Residential,62,,,Southern Cross Care (NSW & ACT) Limited,Religious,Outer Regional Australia,-33.13707579,148.1632263,"$4,683,728.52 "
RFBI Bathurst Masonic Village,200 Stewart Street,,BATHURST,NSW,2795,Central West,Residential,45,,,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,-33.41685123,149.5728476,"$3,358,425.86 "
The Whiddon Group - Kelso,15 Ilumba Way,,KELSO,NSW,2795,Central West,Residential,112,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-33.40709507,149.610307,"$8,442,164.02 "
Touriandi Limited,Borah Road,,BINGARA,NSW,2404,New England,Residential,28,,,Touriandi Limited,Community Based,Outer Regional Australia,-29.87289975,150.5826672,"$1,923,777.40 "
Naroo Frail Aged Hostel,152 Long Street,,WARIALDA,NSW,2402,New England,Residential,36,,,Gwydir Shire Council,Local Government,Outer Regional Australia,-29.5387649,150.5803956,"$2,105,326.19 "
St Vincent's Care Services Edgecliff,2-6 Albert Street,,EDGECLIFF,NSW,2027,South East Sydney,Residential,40,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-33.88086145,151.2383493,"$2,766,393.61 "
Wenonah Lodge,27-31 Mayne Street,,GULGONG,NSW,2852,Orana Far West,Residential,25,,,Gulgong Hostel Association Inc,Community Based,Outer Regional Australia,-32.36519491,149.5417243,"$1,625,004.92 "
Autumn Lodge Glass Street,11 Glass Street,,ARMIDALE,NSW,2350,New England,Residential,50,,,Autumn Lodge,Community Based,Inner Regional Australia,-30.50335832,151.660599,"$3,654,416.21 "
Feros Village Wommin Bay,McKissock Drive,,KINGSCLIFF,NSW,2487,Far North Coast,Residential,70,,,Wommin Bay Hostels Ltd,Community Based,Major Cities of Australia,-28.235722,153.565379,"$4,933,518.43 "
Woodhaven,55a Hebden Street,,LOCKHART,NSW,2656,Riverina/Murray,Residential,23,,,Respect Group Limited,Charitable,Outer Regional Australia,-35.22233434,146.7190682,"$2,114,459.82 "
Dougherty Apartments,1 Victor Street,,CHATSWOOD,NSW,2067,Northern Sydney,Residential,70,,,Dougherty Apartments Retirement Housing Project,Charitable,Major Cities of Australia,-33.7995371,151.1828872,"$4,453,357.36 "
The Whiddon Group - Laurieton,57 Peach Grove,,LAURIETON,NSW,2443,Mid North Coast,Residential,60,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Inner Regional Australia,-31.64615854,152.7941744,"$3,938,422.72 "
Stroud Community Lodge,51 -53 Cowper Street,,STROUD,NSW,2425,Mid North Coast,Residential,31,,,Stroud Community Lodge Inc,Community Based,Inner Regional Australia,-32.40125147,151.96509,"$2,182,545.56 "
Timbrebongie House,134-138 Cathundril Street,,NARROMINE,NSW,2821,Orana Far West,Residential,47,,,Timbrebongie House Limited,Community Based,Outer Regional Australia,-32.24308968,148.2401345,"$2,562,574.75 "
Uralba Hostel,50 Tor Street,,GUNDAGAI,NSW,2722,Riverina/Murray,Residential,19,,,Gundagai and District Hostel Accommodation Inc,Community Based,Inner Regional Australia,-35.05236321,148.1021917,"$575,630.93 "
Catholic Healthcare Lewisham Retirement Hostel,1C Thomas Street,,LEWISHAM,NSW,2049,Inner West,Residential,40,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,-33.89179759,151.1480718,"$2,827,432.49 "
The Greek Community Home For The Aged,2 Woolcott Street,,EARLWOOD,NSW,2206,Inner West,Residential,48,,,The Greek Orthodox Community of New South Wales Ltd,Charitable,Major Cities of Australia,-33.92154312,151.1187337,"$3,458,740.58 "
IRT Thomas Holt Sans Souci Gardens,188 Chuter Avenue,,SANS SOUCI,NSW,2219,South East Sydney,Residential,38,,,Illawarra Retirement Trust,Community Based,Major Cities of Australia,-33.98911116,151.1435169,"$2,766,624.92 "
BaptistCare Dorothy Henderson Lodge,157 Balaclava Road,,MACQUARIE PARK,NSW,2113,Northern Sydney,Residential,80,,,BaptistCare NSW & ACT,Charitable,Major Cities of Australia,-33.77827774,151.1109563,"$5,447,606.65 "
Warrigal Care Albion Park Rail,2 Pine Street,,ALBION PARK RAIL,NSW,2527,Illawarra,Residential,149,,,Warrigal Care,Charitable,Major Cities of Australia,-34.5725931,150.7997503,"$11,025,758.95 "
Calvary St Francis Retirement Community,12 Gleeson Crescent,,ELEEBANA,NSW,2282,Hunter,Residential,52,,,Calvary Retirement Communities Limited,Religious,Major Cities of Australia,-32.99844222,151.644475,"$3,385,285.54 "
The Whiddon Group - Redhead,120  REDHEAD ROAD,,REDHEAD,NSW,2290,Hunter,Residential,180,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Major Cities of Australia,-33.00885342,151.7108687,"$11,271,242.81 "
RFBI Hawkins Masonic Village - Acacia House,20 Northville Drive,,EDGEWORTH,NSW,2285,Hunter,Residential,71,,,Royal Freemasons' Benevolent Institution,Charitable,Major Cities of Australia,-32.92558027,151.604632,"$5,061,248.88 "
The Whiddon Group - Weeronga,54 Rivers Street,,WEE WAA,NSW,2388,New England,Residential,30,,,The Frank Whiddon Masonic Homes of New South Wales,Charitable,Outer Regional Australia,-30.225249,149.449593,"$2,331,180.89 "
Prunus Lodge,11 Bells Lane,,MOLONG,NSW,2866,Central West,Residential,28,,,United Protestant Association of NSW Limited,Charitable,Inner Regional Australia,-33.09053355,148.8674132,"$2,100,116.68 "
St Vincent's Care Services Haberfield,7 Tillock Street,,HABERFIELD,NSW,2045,Inner West,Residential,50,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-33.876234,151.146734,"$3,746,661.85 "
Hazelholme Hostel,3-5 Lord Street,,YEOVAL,NSW,2868,Orana Far West,Residential,17,,,United Protestant Association of NSW Limited,Charitable,Outer Regional Australia,-32.75030022,148.6498586,"$842,648.86 "
Edward River Gardens,38 Turora Street,,MOULAMEIN,NSW,2733,Riverina/Murray,Residential,17,,,Moulamein Retirement Village Inc,Community Based,Outer Regional Australia,-35.09011163,144.0362003,"$876,230.51 "
RFBI Glen Innes Masonic Village,175 Lambeth Street,,GLEN INNES,NSW,2370,New England,Residential,62,,,Royal Freemasons' Benevolent Institution,Charitable,Outer Regional Australia,-29.73650323,151.7281524,"$3,321,674.54 "
Allawah Lodge,60 Mirrool Street,,COOLAMON,NSW,2701,Riverina/Murray,Residential,33,,,Coolamon Shire Council,Local Government,Inner Regional Australia,-34.81290041,147.1974604,"$1,657,176.56 "
Millrace Hostel,422 Rouse Street,,TENTERFIELD,NSW,2372,New England,Residential,36,,,Tenterfield Care Centre Limited,Charitable,Outer Regional Australia,-29.042291,152.020134,"$2,453,165.58 "
Woolgoolga Aged Care Centre,49 High Street,,WOOLGOOLGA,NSW,2456,Mid North Coast,Residential,66,,,Woolgoolga and District Retirement Village Ltd,Community Based,Inner Regional Australia,-30.11679869,153.2009455,"$4,188,069.44 "
Vietnam Veterans Keith Payne VC Hostel,1 Evans Road,,NORAVILLE,NSW,2263,Central Coast,Residential,76,,,Central Coast Community Care Association Limited,Charitable,Major Cities of Australia,-33.27508297,151.5498577,"$5,063,292.21 "
